Date	PM2.5	Aluminum	Ammonium Ion	Arsenic	Barium	Bromine	Calcium	Chlorine	Chromium	Copper	Elemental Carbon	Iron	Lead	Manganese	Nickel	Organic Carbon	OM	Potassium Ion	Selenium	Silicon	Sodium Ion	Sulfate	Titanium	Total Nitrate	Vanadium	Zinc
4/19/2001	0.89	0.026446746	6.74	0.003166667	0.074166667	0.001196072	0.012592834	0.0125	0.002166667	0.001701176	0.110474737	0.012584317	0.007416667	0.002916667	0.001583333	0.348820172	0.48834824	0.2288	0.002833333	0.02321745	0.3524	15.04	0.002743933	5.08	0.003166667	0.002674232
4/22/2001	2.25	0.19434793	0.110412345	0.003166667	0.074166667	0.001246043	0.032605562	0.0125	0.002166667	0.001589048	0.106848607	0.031003126	0.007416667	0.002370836	0.001274306	0.619782169	0.867695037	0.021437889	0.002833333	0.103654426	0.111841848	0.271365406	0.006104494	0.086001897	0.001716262	0.002217998
4/25/2001	0.76	0.020833333	0.072004415	0.003166667	0.074166667	0.002666667	0.011180914	0.0125	0.002166667	0.002166667	0.106020297	0.011097847	0.007416667	0.002916667	0.001583333	0.33164701	0.464305814	0.020804536	0.002833333	0.019707958	0.028125036	0.144565498	0.004416667	0.084122804	0.003166667	0.002089349
4/28/2001	0.83	0.020833333	0.077400813	0.003166667	0.074166667	0.00118006	0.012923417	0.0125	0.002166667	0.002166667	0.105678104	0.011600484	0.007416667	0.002916667	0.001583333	0.370738366	0.519033712	0.020831508	0.002833333	0.024681977	0.02940299	0.147952368	0.002900863	0.081658657	0.003166667	0.002097097
5/1/2001	2.01	0.030361001	6.74	0.003166667	0.074166667	0.001293441	0.021910465	0.0125	0.002166667	0.001761533	0.138374251	0.026693547	0.003418389	0.002509228	0.001318406	0.716570656	1.003198919	0.2288	0.002833333	0.033362854	0.3524	15.04	0.006404834	5.08	0.002105821	0.004328443
5/7/2001	0.55	0.01676	6.74	0.00392	0.0272	0.01468	0.143	0.01054	0.00208	0.01126	2.58	0.326	0.01728	0.00792	0.00512	16.88	23.632	0.2288	0.00548	0.209	0.3524	15.04	0.0146	5.08	0.00932	0.0534
5/10/2001	2.12	0.032069774	0.180592458	0.003166667	0.074166667	0.001191834	0.018553639	0.0125	0.002166667	0.001617192	0.117098524	0.015539686	0.007416667	0.002146451	0.001583333	0.495415274	0.693581384	0.021076123	0.002833333	0.039917415	0.077234555	0.365018552	0.004704564	0.089019359	0.003166667	0.00231884
5/13/2001	0.7	0.020833333	0.073762361	0.003166667	0.074166667	0.002666667	0.012396768	0.0125	0.002166667	0.002166667	0.208333333	0.010859187	0.007416667	0.002916667	0.001583333	0.302968682	0.424156154	0.021167776	0.002833333	0.021789906	0.029664144	0.150253064	0.00276064	0.07426743	0.003166667	0.002081459
5/16/2001	0.63	0.02325017	0.062443241	0.003166667	0.074166667	0.002666667	0.012243462	0.0125	0.002166667	0.002166667	0.106435649	0.01123868	0.007416667	0.002916667	0.001583333	0.311176413	0.435646978	0.021258729	0.002833333	0.023036493	0.050064204	0.126642739	0.002809612	0.075824881	0.003166667	0.002113386
5/19/2001	2.46	0.020833333	0.255802435	0.002020648	0.074166667	0.00120023	0.012600509	0.0125	0.00235253	0.001624632	0.107324872	0.014795237	0.007416667	0.002155667	0.001346331	0.521743414	0.73044078	0.024475746	0.001265279	0.022508887	0.104579641	0.448145672	0.003710604	0.193232234	0.001882829	0.002832016
